,ciudad,codproyecto,direccion,latitud,longitud,geometry
922,Bogota,C90889,Tr.99 # 70a - 89,4.701334, -74.115976,POINT (4.701334 -74.115976)
923,Bogota,C90890,Av Boyaca # 67 -75,4.683324, -74.098425,POINT (4.683324 -74.09842500000001)
924,Bogota,C90891,Cl 90 # 16 -09,4.674740, -74.054060,POINT (4.67474 -74.05406000000001)
925,Bogota,C90892,Cl 106 # 56 -33,4.694245, -74.064850,POINT (4.694245 -74.06485000000001)
926,Bogota,C90893,Cl 6 # 38 - 74,4.615727, -74.104964,POINT (4.615727 -74.104964)
927,Bogota,C90894,Cl 13 con Cr 58 Costado Sur,4.630766, -74.111195,POINT (4.630766 -74.111195)
928,Bogota,C90895,Via Tabio Km 1.9,4.926823, -74.049654,POINT (4.926823 -74.049654)
930,Bogota,C90897,Cr 14 # 97 -62,4.682391, -74.047934,POINT (4.682391 -74.047934)
931,Bogota,C90898,Cr 16 # 93 -11,4.677319, -74.052741,POINT (4.677319 -74.052741)
932,Bogota,C90899,Cr 18 # 93 -15,4.678112, -74.054182,POINT (4.678112 -74.054182)
933,Bogota,C90900,Autonorte # 106 - 71,4.694965, -74.056355,POINT (4.694965 -74.056355)
934,Bogota,C90901,Autonorte # 106 - 71,4.694965, -74.056355,POINT (4.694965 -74.056355)
935,Bogota,C90902,Cl 65 Sur # 78h - 51,4.605195, -74.184120,POINT (4.605195 -74.18411999999999)
936,Bogota,C90903,Cl 126 # 7 - 26,4.700951, -74.029292,POINT (4.700951 -74.029292)
937,Bogota,C90904,Km 2 Vía Chia Cajicá Costado Occidental,4.883222, -74.037231,POINT (4.883222 -74.03723100000001)
938,Bogota,C90905,Km 1 Siberia Funza Costado Oriental,4.747071, -74.163911,POINT (4.747071 -74.163911)
939,Bogota,C90906,Anillo Víal Canavíta Tocancípa,4.946929, -73.936060,POINT (4.946929 -73.93606)
940,Bogota,C90907,Km 2 Vía Chia Cajicá Costado Occidental,4.883222, -74.037231,POINT (4.883222 -74.03723100000001)
941,Bogota,C90908,Km 2 Vía Chia Cajicá Costado Oriental,4.881187, -74.037314,POINT (4.881187 -74.03731399999999)
942,Bogota,C90909,Km 2 Vía Chia Cajicá Costado Oriental,4.881187, -74.037314,POINT (4.881187 -74.03731399999999)
943,Bogota,C90910,Autopista Sur Con Cr 63 (Makro),4.597768, -74.153114,POINT (4.597768 -74.153114)
944,Bogota,C90911,Km 1 Siberia Funza Costado Oriental,4.747071, -74.163911,POINT (4.747071 -74.163911)
945,Bogota,C90912,Cl 163 bis # 48 - 80,4.745581, -74.050385,POINT (4.745581 -74.05038500000001)
946,Bogota,C90913,Cl 163 bis # 48 - 80,4.745581, -74.050385,POINT (4.745581 -74.05038500000001)
947,Bogota,C90914,Km. 15 Vía Chia-Cajicá,4.905858, -74.029492,POINT (4.905858 -74.029492)
948,Bogota,C90915,Cr 5 Variante Cajicá - Zipaquirá,4.905858, -74.029492,POINT (4.905858 -74.029492)
949,Bogota,C90916,Cl. 151 # 32 - 19 ,4.747071, -74.163911,POINT (4.747071 -74.163911)
950,Bogota,C90917,Cr 7 # 127b - 15,4.704875, -74.028902,POINT (4.704875 -74.028902)
951,Bogota,C90918,Av Villavicencio con Av Gaitán Cortés,4.581417, -74.157002,POINT (4.581417 -74.15700200000001)
952,Bogota,C90919,Cr 13 # 9 - 48,4.599650, -74.080716,POINT (4.59965 -74.080716)
953,Bogota,C90920,Cl 11 # 6a -56 Chía,4.859516, -74.057193,POINT (4.859516 -74.057193)
954,Bogota,C90921,Km 3 Vía Gachancipá  Sesquile,5.012191, -73.860137,POINT (5.012191 -73.86013699999999)
955,Bogota,C90922,Km 1.4 Vía Chía Cota,4.844277, -74.080848,POINT (4.844277 -74.080848)
956,Bogota,C90923,Km 1.4 Vía Chía Cota,4.844277, -74.080848,POINT (4.844277 -74.080848)
957,Bogota,C90924,Km 1.4 Vía Chía Cota,4.844277, -74.080848,POINT (4.844277 -74.080848)
958,Bogota,C90925,Av 19 # 102 -53,4.688283, -74.051958,POINT (4.688283 -74.051958)
959,Bogota,C90926,Av 19 # 102 -53,4.688283, -74.051958,POINT (4.688283 -74.051958)
960,Bogota,C90927,Cl 134a # 19 -15,4.719097, -74.047288,POINT (4.719097 -74.04728799999999)
961,Bogota,C90928,Cl 134a # 19 -15,4.719097, -74.047288,POINT (4.719097 -74.04728799999999)
962,Bogota,C90929,Av 19 Con 127 Bis ,4.699422, -74.050046,POINT (4.699422 -74.05004599999999)
963,Bogota,C90930,Km 2 Vía Chía Cota,4.847029, -74.078403,POINT (4.847029 -74.07840299999999)
964,Bogota,C90931,Cr 21 # 24 51 Sur,4.583037, -74.106830,POINT (4.583037 -74.10683)
965,Bogota,C90932,Av Troncal de Occidente # 20- 85,4.723736, -74.240857,POINT (4.723736 -74.24085700000001)
966,Bogota,C90933,K.m. 3 Vía Siberia-Funza,4.734480, -74.184524,POINT (4.73448 -74.184524)
967,Bogota,C90934,Km.4 Autopista Bogotá Medellín ,4.754634, -74.152454,POINT (4.754634 -74.15245400000001)
968,Bogota,C90935,Km.4 Autopista Bogotá Medellín ,4.754634, -74.152454,POINT (4.754634 -74.15245400000001)
969,Bogota,C90936,Km 4 Vía Parcelas Cota,4.759731, -74.134472,POINT (4.759731 -74.134472)
970,Bogota,C90937,Km 4 Vía Parcelas Cota,4.763218, -74.136415,POINT (4.763218 -74.136415)
971,Bogota,C90938,Cl. 95 # 71 - 95,4.696495, -74.083907,POINT (4.696495 -74.083907)
972,Bogota,C90939,Cl. 22C # 132-27,4.699539, -74.160897,POINT (4.699539 -74.16089700000001)
973,Bogota,C90940,Cr. 11B # 96-36,4.682157, -74.045187,POINT (4.682157 -74.045187)
974,Bogota,C90941,Via Siberia Funza Km 1,4.755090, -74.162317,POINT (4.75509 -74.162317)
975,Bogota,C90942,"Autopista Norte. Cra 7, Costado Oriental",4.858686, -74.028073,POINT (4.858686 -74.02807300000001)
976,Bogota,C90943,Av 26  con Cr 25 Esquina.,4.621481, -74.077416,POINT (4.621481 -74.077416)
977,Bogota,C90944,Cl.12b # 9 - 40,4.601519, -74.076859,POINT (4.601519 -74.076859)
978,Bogota,C90945,Av Cr. 30 # 25a - 23,4.625796, -74.082589,POINT (4.625796 -74.082589)
979,Bogota,C90946,Cr 19 # 100 - 45,4.686802, -74.052152,POINT (4.686802 -74.05215200000001)
980,Bogota,C90947,"Km 1,6 vía Siberia Ténjo",4.774833, -74.158842,POINT (4.774833 -74.15884200000001)
981,Bogota,C90948,Av.2 # 9a -29 La Calera,4.721359, -73.965591,POINT (4.721359 -73.965591)
982,Bogota,C90949,Cr 30 # 22c 32,4.622811, -74.084248,POINT (4.622811 -74.084248)
983,Bogota,C90950,Cr 11 # 93a - 38,4.676150, -74.046577,POINT (4.67615 -74.046577)
984,Bogota,C90951,Ciudad Verde,4.604794, -74.223295,POINT (4.604794 -74.22329499999999)
985,Bogota,C90952,Tr.23 #100 - 17,4.687320, -74.056024,POINT (4.68732 -74.05602399999999)
986,Bogota,C90953,Tr.23 #100 - 17,4.687320, -74.056024,POINT (4.68732 -74.05602399999999)
987,Bogota,C90954,Variante Cota Chía 100 mts al norte de la glorieta,4.803126, -74.095955,POINT (4.803126 -74.095955)
988,Bogota,C90955,Variante Cota Chía 300 mts al norte de la glorieta,4.805251, -74.093358,POINT (4.805251 -74.09335799999999)
989,Bogota,C90956,Autopista Medellin . Bogotá Medellín  Km 7,4.781697, -74.171213,POINT (4.781697 -74.17121299999999)
990,Bogota,C90957,Av. NQS con Cl. 102,4.686198, -74.046571,POINT (4.686198 -74.046571)
991,Bogota,C90958,Cr 19 # 33a - 65,4.623499, -74.073601,POINT (4.623499 -74.073601)
992,Bogota,C90959,Cr 12 # 96 - 32,4.680262, -74.046873,POINT (4.680262 -74.04687300000001)
993,Bogota,C90960,Dig 77b # 120a - 40,4.722552, -74.132708,POINT (4.722552 -74.13270799999999)
994,Bogota,C90961,Cl. 100 - 101 entre Cras. 7 a 8B,4.681389, -74.039449,POINT (4.681389 -74.039449)
995,Bogota,C90962,Cl 93 # 19 -75,4.678688, -74.055717,POINT (4.678688 -74.055717)
996,Bogota,C90963,Cl. 33 # 6 -37,4.619124, -74.066501,POINT (4.619124 -74.066501)
997,Bogota,C90964,Cl 92 # 15 - 78,4.676412, -74.053057,POINT (4.676412 -74.053057)
998,Bogota,C90965,Cl 80 # 10 - 79,4.664176, -74.053863,POINT (4.664176 -74.05386300000001)
999,Bogota,C90966,Cl 80 # 10 - 79,4.664176, -74.053863,POINT (4.664176 -74.05386300000001)
1000,Bogota,C90967,Cl 85 # 16a - 41,4.670652, -74.056975,POINT (4.670652 -74.05697499999999)
1001,Bogota,C90968,Cl 19 con Cr 33,4.620877, -74.090684,POINT (4.620877 -74.090684)
1002,Bogota,C90969,Km 55 vía Bogotá Tunja ,5.017997, -73.850009,POINT (5.017997 -73.850009)
1003,Bogota,C90970,Km 55 vía Bogotá Tunja ,5.017997, -73.850009,POINT (5.017997 -73.850009)
1004,Bogota,C90971,Autp. Medellín Km 20 El Rosal,4.844727, -74.264278,POINT (4.844727 -74.264278)
1005,Bogota,C90972,Autp. Medellín Km 20 El Rosal,4.844727, -74.264278,POINT (4.844727 -74.264278)
1006,Bogota,C90973,Cl 153 # 103b - 76,4.754288, -74.091703,POINT (4.754288 -74.091703)
1007,Bogota,C90974,Cr 7 # 116 -50,4.694210, -74.032713,POINT (4.69421 -74.032713)
1008,Bogota,C90975,Cr 7 # 116 -50,4.694210, -74.032713,POINT (4.69421 -74.032713)
1009,Bogota,C90976,Cl 127 # 70G - 68,4.710622, -74.076065,POINT (4.710622 -74.076065)
1010,Bogota,C90977,Km 2.8 Vía Siberia,4.748285, -74.143379,POINT (4.748285 -74.143379)
1011,Bogota,C90978,Km 2.8 Vía Siberia,4.748285, -74.143379,POINT (4.748285 -74.143379)
1012,Bogota,C90979,Cl 127 # 15A - 73,4.704065, -74.044500,POINT (4.704065 -74.0445)
1013,Bogota,C90980,Cr 13 # 41 -05,4.629197, -74.067103,POINT (4.629197 -74.067103)
1014,Bogota,C90981,Cl 13 # 3c - 19 Soacha,4.578584,-74.217242,POINT (4.578584 -74.217242)
1015,Bogota,C90982,Cr 11 con Cl 92 Esquina,4.673352, -74.047986,POINT (4.673352 -74.04798599999999)
1016,Bogota,C90983,Cr 11 con Cl 92 Esquina,4.673352, -74.047986,POINT (4.673352 -74.04798599999999)
1017,Bogota,C90984,Cr 10 # 72 - 80,4.656994, -74.057275,POINT (4.656994 -74.057275)
1018,Bogota,C90985,Cr 19 # 100 - 45,4.686802, -74.052152,POINT (4.686802 -74.05215200000001)
1019,Bogota,C90986,Cr 50 # 11- 65,4.625098, -74.108794,POINT (4.625098 -74.108794)
1020,Bogota,C90987,Av 68 con Esperanza,4.651194, -74.106276,POINT (4.651194 -74.10627599999999)
1021,Bogota,C90988,Cr. 11b #  99 - 55,4.682879, -74.045150,POINT (4.682879 -74.04515000000001)
1022,Bogota,C90989,Cr. 11b #  99 - 55,4.682879, -74.045150,POINT (4.682879 -74.04515000000001)
1023,Bogota,C90990,Cr 7 # 155 - 80,4.730924, -74.023779,POINT (4.730924 -74.023779)
1024,Bogota,C90991,Cl 67 # 11-98,4.653461, -74.062314,POINT (4.653461 -74.062314)
1025,Bogota,C90992,Cl 67 # 11-98,4.653461, -74.062314,POINT (4.653461 -74.062314)
1026,Bogota,C90993,Av 68 con Esperanza,4.651194, -74.106276,POINT (4.651194 -74.10627599999999)
1027,Bogota,C90994,Cr 7 bis # 123 - 43,4.698808, -74.029851,POINT (4.698808 -74.02985099999999)
1028,Bogota,C90995,Cr 7 bis # 123 - 43,4.698808, -74.029851,POINT (4.698808 -74.02985099999999)
1029,Bogota,C90996,Cr 3 con Cl 20,4.603178, -74.067328,POINT (4.603178 -74.067328)
1030,Bogota,C90997,Km 2 Vía Chia Cajicá Costado Occidental,4.882072, -74.038020,POINT (4.882072 -74.03802)
1031,Bogota,C90998,Km 2 Vía Chia Cajicá Costado Occidental,4.882072, -74.038020,POINT (4.882072 -74.03802)
1032,Bogota,C90999,Cl 104 # 23 - 36,4.691313, -74.055687,POINT (4.691313 -74.05568700000001)
1033,Bogota,C91000,Cl 104 # 23 - 36,4.691313, -74.055687,POINT (4.691313 -74.05568700000001)
1034,Bogota,C91001,Av Cr 86 # 63 - 20,4.682246, -74.116594,POINT (4.682246 -74.11659400000001)
1035,Bogota,C91002,Cr 13 # 66 - 26,4.652962, -74.062873,POINT (4.652962 -74.062873)
1036,Bogota,C91003,Cr 14 # 93-88,4.677249, -74.050585,POINT (4.677249 -74.050585)
1037,Bogota,C91004,Av. Cr 72 # 65a - 15,4.680189, -74.100678,POINT (4.680189 -74.100678)
1038,Bogota,C91005,Av. Chilacos con Cr 3,4.869972,-74.053160,POINT (4.869972 -74.05316000000001)
1039,Bogota,C91006,Cr 8c # 188 - 95,4.765447, -74.030038,POINT (4.765447 -74.030038)
1040,Bogota,C91007,Tr.6a # 3 -86 La Calera,4.721298,-73.972853,POINT (4.721298 -73.972853)
1041,Bogota,C91008,Cr 21 # 13a - 04,4.609681, -74.086193,POINT (4.609681 -74.08619299999999)
1042,Bogota,C91009,Cr 21 # 13a - 04,4.609681, -74.086193,POINT (4.609681 -74.08619299999999)
1043,Bogota,C91010,Cl 22 Sur # 24b -60,4.587135, -74.107102,POINT (4.587135 -74.107102)
1044,Bogota,C91011,Cl 22 Sur # 24b -60,4.587135, -74.107102,POINT (4.587135 -74.107102)
1045,Bogota,C91012,Km 27 Vía Cajicá,4.895133, -74.032890,POINT (4.895133 -74.03288999999999)
1046,Bogota,C91013,Av. Chilacos # 1 - 22,4.866298, -74.046113,POINT (4.866298 -74.04611300000001)
1047,Bogota,C91014,Av Medellín Km 2 a 800 m frente a Gerfor,4.751262, -74.135941,POINT (4.751262 -74.135941)
1048,Bogota,C91015,Cl 17 # 123b 96,4.687304, -74.159784,POINT (4.687304 -74.159784)
1049,Bogota,C91016,Km 25 vía Cajicá vía San Jeronimo Cr 5,4.905193, -74.029334,POINT (4.905193 -74.02933400000001)
1050,Bogota,C91017,Km 25 vía Cajicá vía San Jeronimo Cr 5,4.905193, -74.029334,POINT (4.905193 -74.02933400000001)
1051,Bogota,C91018,Km2 Via Briceño Sopó Alpina,4.939828, -73.956539,POINT (4.939828 -73.95653900000001)
1052,Bogota,C91019,Variante Cota Chía ,4.809225, -74.092007,POINT (4.809225 -74.092007)
1053,Bogota,C91020,Bogotá Siberia Km 2 costado sur,4.745987, -74.142563,POINT (4.745987 -74.142563)
1054,Bogota,C91021,Cl 6 # 26 -50,4.604231, -74.094521,POINT (4.604231 -74.094521)
1055,Bogota,C91022,Cr 24 # 73 - 35,4.663792, -74.066437,POINT (4.663792 -74.06643699999999)
1056,Bogota,C91023,Av. Pradilla # 1a - 90 Chía,4.863989, -74.047500,POINT (4.863989 -74.0475)
1057,Bogota,C91024,Av. Boyacá con 152 Costado Oriental,4.738197, -74.065714,POINT (4.738197 -74.065714)
1058,Bogota,C91025,Av. Boyacá con 152 Costado Oriental,4.738197, -74.065714,POINT (4.738197 -74.065714)
1059,Bogota,C91026,Cr 7 bis # 124-59,4.700443, -74.029488,POINT (4.700443 -74.029488)
1060,Bogota,C91027,Cl 72 con Cr 24 Esq.,4.662954, -74.067633,POINT (4.662954 -74.067633)
1061,Bogota,C91028,Cl 79 # 76 -31,4.697316, -74.094071,POINT (4.697316 -74.094071)
1062,Bogota,C91029,C 5 # 5 - 95 Mosquera,4.708844, -74230932,POINT (4.708844 -74230932)
1063,Bogota,C91030,Av 19 Con 127 Bis ,4.699422, -74.050046,POINT (4.699422 -74.05004599999999)
1064,Bogota,C91031,"Av Cl 4 # 21 -33, Zipaquirá",5.016288, -73.997884,POINT (5.016288 -73.997884)
1065,Bogota,C91032,"Av Cl 4 # 21 -33, Zipaquirá",5.016288, -73.997884,POINT (5.016288 -73.997884)
1066,Bogota,C91033,Cl 128c # 47 -62,4.715092, -74.055372,POINT (4.715092 -74.05537200000001)
1067,Bogota,C91034,Cl 167 # 55a - 69,4.750189, -74.056377,POINT (4.750189 -74.056377)
1068,Bogota,C91035,Cl 165 # 45 -30,4.746519, -74.047903,POINT (4.746519 -74.04790300000001)
1069,Bogota,C91036,Cl 165 # 45 -30,4.746519, -74.047903,POINT (4.746519 -74.04790300000001)
1070,Bogota,C91037,Cr 7 # 109 - 39,4.688073, -74.035182,POINT (4.688073 -74.03518200000001)
1071,Bogota,C91038,"Cr 4 # 28 -10 San Mateo, Soacha",4.584311, -74.205999,POINT (4.584311 -74.20599900000001)
1072,Bogota,C91039,Km 2.5 Vía Cajicá- Tabio,4.927259, -74.048458,POINT (4.927259 -74.048458)
1073,Bogota,C91040,Vereda Pueblo Vía Cota Chia,4.839246, -74.084645,POINT (4.839246 -74.08464499999999)
1074,Bogota,C91041,Cr 11 # 90-55,4.672782, -74.048683,POINT (4.672782 -74.048683)
1075,Bogota,C91042,Cl. 18 con Cr. 29 Sur,4.592752, -74.108099,POINT (4.592752 -74.108099)
1076,Bogota,C91043,Cl. 116 # 21-24,4.699314, -74.052970,POINT (4.699314 -74.05297)
1077,Bogota,C91044,Cr 11 # 81-35,4.665439, -74.053376,POINT (4.665439 -74.053376)
1078,Bogota,C91045,Cr 11 # 81-35,4.665439, -74.053376,POINT (4.665439 -74.053376)
1079,Bogota,C91046,Cr 15 # 92-29,4.676160, -74.052469,POINT (4.67616 -74.052469)
1080,Bogota,C91047,Cr 7 # 155-80,4.730924, -74.023779,POINT (4.730924 -74.023779)
1081,Bogota,C91048,Cr 7 # 158-51,4.734372, -74.024580,POINT (4.734372 -74.02458)
1082,Bogota,C91049,Cl. 4 # 32-100 Zipaquirá,5.010594, -73.989827,POINT (5.010594 -73.98982700000001)
1083,Bogota,C91050,Cr 18 # 14 - 04,4.607398, -74.082611,POINT (4.607398 -74.082611)
1084,Bogota,C91051,Cr 18 # 14 - 04,4.607398, -74.082611,POINT (4.607398 -74.082611)
1085,Bogota,C91052,Variante Cota Chía 100 mts al norte de la glorieta,4.803126, -74.095955,POINT (4.803126 -74.095955)
1086,Bogota,C91053,"Autop. Medellín- Km. 8,5 ",4.779440, -74.183059,POINT (4.77944 -74.183059)
1087,Bogota,C91054,Cl 60a con Transv.2 Este,4.641914, -74.054851,POINT (4.641914 -74.054851)
1088,Bogota,C91055,Av.2 # 9a -29 La Calera,4.721359, -73.965591,POINT (4.721359 -73.965591)
1089,Bogota,C91056,Cra. 96 # 25g-40,4.682877, -74.123987,POINT (4.682877 -74.123987)
1090,Bogota,C91057,Cr. 16 # 97 -36,4.682901, -74.048895,POINT (4.682901 -74.048895)
1091,Bogota,C91058,Cr 27 # 31a-36 Sur,4.588138,-74.116865,POINT (4.588138 -74.116865)
1092,Bogota,C91059,Cr 5 # 45-25,4.631324, -74.062443,POINT (4.631324 -74.062443)
1093,Bogota,C91060,Cl. 121 # 7a - 23,4.698186, -74.032153,POINT (4.698186 -74.03215299999999)
1094,Bogota,C91061,Cr 85d # 46a - 96 L1,4.678726, -74.115057,POINT (4.678726 -74.11505699999999)
1095,Bogota,C91062,Cl 2 # 3 - 41 Cajicá,4.916442, -74.024766,POINT (4.916442 -74.024766)
1096,Bogota,C91063,Cl 2 # 3 - 41 Cajicá,4.916442, -74.024766,POINT (4.916442 -74.024766)
1097,Bogota,C91064,Cl 2 # 3 - 41 Cajicá,4.916442, -74.024766,POINT (4.916442 -74.024766)
1098,Bogota,C91065,Cl. 18 # 77- 51,4.653801, -74.130179,POINT (4.653801 -74.130179)
1099,Bogota,C91066,Cl. 18 # 77- 51,4.653801, -74.130179,POINT (4.653801 -74.130179)
1100,Bogota,C91067,Av Troncal de Occidente frente a Doria,4.696878, -74.218741,POINT (4.696878 -74.21874099999999)
1101,Bogota,C91068,Cr 2 # 9-24 La Calera,4.720800, -73.966028,POINT (4.7208 -73.96602799999999)
1102,Bogota,C91069,Av Cr 9 # 100-77,4.685788, -74.047318,POINT (4.685788 -74.047318)
1103,Bogota,C91070,Av Cr 9 # 100-77,4.685788, -74.047318,POINT (4.685788 -74.047318)
1104,Bogota,C91071,Cr. 11 # 79 -75,4.664190, -74.054176,POINT (4.66419 -74.054176)
1105,Bogota,C91072,Cr. 11 # 79 -75,4.664190, -74.054176,POINT (4.66419 -74.054176)
1106,Bogota,C91073,Cl.139 # 96A-35,4.7387,-74.0920,POINT (4.7387 -74.092)
1107,Bogota,C91074,Km 22 vía Tunja Vereda Canavíta,4.944272, -73.945790,POINT (4.944272 -73.94579)
1108,Bogota,C91075,Cr14 # 71 - 98,4.658344, -74.061741,POINT (4.658344 -74.061741)
1109,Bogota,C91076,Cr 11 # Cl 93a -08 Esquina,4.675656, -74.046759,POINT (4.675656 -74.04675899999999)
1110,Bogota,C91077,Cr 38 Con Cl 12y 12 a,4.618952, -74.100245,POINT (4.618952 -74.100245)
1111,Bogota,C91078,Cl 12 # 15-65,4.604701, -74.081508,POINT (4.604701 -74.081508)
1112,Bogota,C91079,Vía Zipaquirá Ubaté con Cl 8,5.027380, -73.981013,POINT (5.02738 -73.981013)
1113,Bogota,C91080,Autosur con Cr 67,4.595748, -74.159145,POINT (4.595748 -74.159145)
1114,Bogota,C91081,Cr 106 # 15a -25,4.675155, -74.155018,POINT (4.675155 -74.155018)
1115,Bogota,C91082,Cr 106 # 15a -25,4.675155, -74.155018,POINT (4.675155 -74.155018)
1116,Bogota,C91083,Cl 91 con Cr 19c,4.677254, -74.057367,POINT (4.677254 -74.057367)
1117,Bogota,C91084,Av Cr 86 # 63-20,4.682246, -74.116594,POINT (4.682246 -74.11659400000001)
1118,Bogota,C91085,Autopista Troncal de Occidente Km 1.5,4.699463, -74.193698,POINT (4.699463 -74.193698)
1119,Bogota,C91086,Av Cr. 20 # 88 -20,4.676019, -74.058460,POINT (4.676019 -74.05846)
1120,Bogota,C91087,Cl 93 # 15-73,4.677125, -74.052770,POINT (4.677125 -74.05277)
1121,Bogota,C91088,Cl 72a # 61- 14,4.673451, -74.079991,POINT (4.673451 -74.07999100000001)
1122,Bogota,C91089,Autopista Medellín Km 2.2 del Puente de Guadua,4.749057, -74.143721,POINT (4.749057 -74.143721)
1123,Bogota,C91090,Av. Pradilla # 6  - 59E Chía,4.865391, -74.038609,POINT (4.865391 -74.03860899999999)
1124,Bogota,C91091,Cl 125 # 21a -61,4.705027, -74.052586,POINT (4.705027 -74.05258600000001)
1125,Bogota,C91092,Cl 63d # 28a-38,4.656036, -74.077490,POINT (4.656036 -74.07749)
1126,Bogota,C91093,Av.El Dorado # 78 -20,4.673085, -74.115133,POINT (4.673085 -74.115133)
1127,Bogota,C91094,Av.El Dorado # 78 -20,4.673085, -74.115133,POINT (4.673085 -74.115133)
1128,Bogota,C91095,Mosquera vía La Mesa,4.700245, -74.236660,POINT (4.700245 -74.23666)
1129,Bogota,C91096,Mosquera vía La Mesa,4.700245, -74.236660,POINT (4.700245 -74.23666)
1130,Bogota,C91097,Av. Boyaca con Cl 152,4.738486, -74.066155,POINT (4.738486 -74.06615499999999)
1131,Bogota,C91098,Cl 104 # 23-36,4.691313, -74.055687,POINT (4.691313 -74.05568700000001)
1132,Bogota,C91099,Cl 104 # 23-36,4.691313, -74.055687,POINT (4.691313 -74.05568700000001)
1133,Bogota,C91100,Av. El Dorado con Cra. 92,4.683916, -74.120647,POINT (4.683916 -74.12064700000001)
1134,Bogota,C91101,Cl 125 # 19 -67,4.704533, -74.049382,POINT (4.704533 -74.04938199999999)
1135,Bogota,C91102,Cl 125 # 19 -67,4.704533, -74.049382,POINT (4.704533 -74.04938199999999)
