,ciudad,codproyecto,direccion,latitud,longitud
424,Bogota,C90334,Cl. 80 Contiguo Parq. Florida,4.7358145,-74.134671
425,Bogota,C90335,Cr. 7 # 75-65,4.658501,-74.05280470000001
426,Bogota,C90336,Cl. 119 # 14-42,4.6989567,-74.041066
428,Bogota,C90338,Cl. 82 # 10-39,4.6654416,-74.0522963
430,Bogota,C90340,Vía Siberia Funza,4.7455754,-74.1700713
432,Bogota,C90342,Aut. Medellin K. 3.8,6.2476376,-75.56581530000001
433,Bogota,C90343,Cr. 18 # 93B-31,4.6803355,-74.0529875
434,Bogota,C90344,Vía Funza Siberia,4.7989929,-74.1109464
436,Bogota,C90346,Cl. 106 # 59-21,4.6934485,-74.06668839999999
437,Bogota,C90347,Av. 19 # 97-50,4.6727986,-74.1422752
438,Bogota,C90348,Cl. 106 # 54-73,4.6944352,-74.0641811
439,Bogota,C90349,Cl. 93B # 19-21,4.6801053,-74.05431570000002
441,Bogota,C90351,Cr. 11 # 84-50,4.6671913,-74.05154519999999
442,Bogota,C90352,Cl. 94 # 14-11,4.6791344,-74.049802
444,Bogota,C90354,Cl. 71 Con Caracas,4.658379300000001,-74.0621677
446,Bogota,C90356,Aut. Norte Av. Central,4.684800699999999,-74.0575695
447,Bogota,C90357,Km 1.5 vía Bogotá,,
448,Bogota,C90358,Cr. 103D # 152-35,4.7518288,-74.0929677
449,Bogota,C90359,Cr. 19C   89-20,4.6762432,-74.0574695
450,Bogota,C90360,Cl. 93 # 17-23,4.6773827,-74.053742
452,Bogota,C90362,Cl. 90 # 13A-43,4.6737931,-74.05205529999999
455,Bogota,C90365,Cr. 21 # 128D-10,4.7147863,-74.0502908
457,Bogota,C90367,Cl. 93 # 11A-11,4.6746307,-74.04849449999999
459,Bogota,C90369,Mosquera,4.6967517,-74.2032983
461,Bogota,C90371,Cr. 9 # 52A-28,4.639196099999999,-74.0636421
462,Bogota,C90372,Cl. 53B # 28-85,4.643833100000001,-74.0779262
463,Bogota,C90373,Av. 68 # 98-34,4.688266899999999,-74.0738971
464,Bogota,C90374,Vía Siberia Bogotá,4.7992783,-74.1107167
466,Bogota,C90377,Cl. 106 # 56-62,4.694495,-74.0653075
468,Bogota,C90379,Cr. 4 # 16-03,4.6012533,-74.0701722
469,Bogota,C90380,Av. 19 # 114-09,4.6971723,-74.05037469999999
470,Bogota,C90381,Av. 19 # 108-11,4.6795554,-74.14820350000001
471,Bogota,C90382,Cr. 47A # 95-91,4.6848535,-74.0603441
472,Bogota,C90383,Cl. 106 # 57-11,4.6939255,-74.0655033
473,Bogota,C90384,Cl. 120 # 7-33,4.6971465,-74.0326975
478,Bogota,C90391,Cr. 16 # 93-92,4.678153,-74.05199329999999
481,Bogota,C90394,Cl. 124 # 7-38,4.699799899999999,-74.0294385
482,Bogota,C90395,Av. 13 # 94-64,4.6478469,-74.0583753
483,Bogota,C90396,Av. Cra. 19 # 100-66,4.686597,-74.0520257
484,Bogota,C90398,Cra 11B # 96-70,4.680514899999999,-74.0460094
485,Bogota,C90399,Calle 89 # 19A-34,4.6760493,-74.0572351
486,Bogota,C90400,Av. La Esperanza con futura Av. Longitudinal de Occidente,4.6621789,-74.1164622
487,Bogota,C90401,Cra. 7 # 59-54,4.644712,-74.0613
488,Bogota,C90402,Cra. 7 # 59-55,4.6447502,-74.0614297
489,Bogota,C90403,Calle 26. Av. El Dorado Cra. 59 y 62,4.6461478,-74.0982329
490,Bogota,C90405,Cra 7 # 119-45,4.6962117,-74.0316983
491,Bogota,C90406,Km. 17 Vía Bogotá-Mosquera,,
493,Bogota,C90408,Av. 9 #127,4.7047002,-74.0326094
494,Bogota,C90409,Cra. 87K #56F-86 Sur,4.6263311,-74.1880773
495,Bogota,C90411,Cra 22 # 10-69,4.6069433,-74.0891676
497,Bogota,C90413,Cra 22 # 10-70,4.606766599999999,-74.08883329999999
498,Bogota,C90414,Variante Chia-Cota frente a Parmalat,4.8479731,-74.0533189
502,Bogota,C90418,Av. Parque con cra 59,4.6584796,-74.09345789999999
503,Bogota,C90419,Km. 14 Vía Mosquera,,
504,Bogota,C90420,Av. Ciudad Cali con Esperanza,4.6720483,-74.125267
505,Bogota,C90421,Av. 9 # 123-36,4.6998371,-74.0326975
508,Bogota,C90424,Av. Esperanza # 62-49,4.6394196,-74.098869
509,Bogota,C90425,Cl. 106 # 56-76,4.694439099999999,-74.0654223
510,Bogota,C90426,Calle 93 # 15-27,4.676805799999999,-74.0523767
511,Bogota,C90427,Calle 98A # 51-37,4.6865955,-74.062022
512,Bogota,C90428,Cra 11A # 96-47,4.6796812,-74.0451441
513,Bogota,C90429,Transv. 21 # 98-55,4.685975,-74.05478699999999
515,Bogota,C90431,Av. 9 # 101-43,4.6862603,-74.04662929999999
516,Bogota,C90433,Km. 1 Variante Madrid vía Mosquera,,
520,Bogota,C90437,Cra 16 # 93A-36,4.6786433,-74.0517914
521,Bogota,C90438,Cra 63 # 57G-46 Sur,4.599654399999999,-74.1547554
522,Bogota,C90439,Calle 93 con NQS,4.6803212,-74.0586551
523,Bogota,C90440,Km. 3 vía Mosquera Tres Esquinas,,
524,Bogota,C90441,Vía Guaymaral 200 mts antes de la Variante Chia-Cota,4.8165608,-74.07446070000002
525,Bogota,C90442,Cra 5 # 7-80,4.584067,-74.0728144
526,Bogota,C90443,Cra 11 con calle 85 esquina,4.6678609,-74.0515291
527,Bogota,C90444,Vía Troncal de Occidente Calle 13,4.6229498,-74.1014824
530,Bogota,C90447,Troncal de Occidente Vía Funza Bogotá 200 mts antes del peaje,4.6990433,-74.1845404
533,Bogota,C90450,Tranv. 23 # 97-73,4.6855666,-74.0564878
534,Bogota,C90451,Paralela Autopista Norte con calle 100,4.684775999999999,-74.0481124
536,Bogota,C90453,Av. 19 # 116-71,4.6999786,-74.0784116
538,Bogota,C90456,Av. Boyacá con Cl. 80,4.697398199999999,-74.08767139999999
539,Bogota,C90457,Cra. 15 # 88-70,4.6742177,-74.0531483
540,Bogota,C90458,Cl. 146 # 7-64,4.7216799,-74.0269368
541,Bogota,C90459,Calle 19A # 91-05,4.6659647,-74.1365205
542,Bogota,C90460,Autop. Sur Cl. 32 Cerca a C.C. Mercurio,4.5878502,-74.2034673
543,Bogota,C90461,Cl. 103 paralela Autop. Norte,4.6908405,-74.05707629999999
544,Bogota,C90462,Cl. 93 Cra. 14,4.6763055,-74.05121869999999
545,Bogota,C90463,Cra. 7 # 63-44,4.648263000000001,-74.05941179999999
546,Bogota,C90464,Cra. 7A#126A-79,4.6245157,-74.1565245
550,Bogota,C90468,Autop. Norte # 108A-50,4.6960784,-74.0551526
551,Bogota,C90469,Calle 76 # 13-67,4.662196,-74.05847059999999
552,Bogota,C90472,Cra. 7B # 127-16,4.7034392,-74.0300206
555,Bogota,C90475,Tr. 91 # 139-06,4.7368313,-74.0847507
557,Bogota,C90477,Cra 7B # 123-52,4.6996326,-74.0311585
558,Bogota,C90478,"Salida peaje cl. 13, 200 mts costado sur",4.6108766,-74.0879136
559,Bogota,C90479,"1,5 Km de la glorieta de Siberia vía Cota",4.7989923,-74.1109483
560,Bogota,C90480,150 mts adelante peaje Siberia,4.7803866,-74.1850213
561,Bogota,C90481,Calle 1 # 10-04 Zipaquirá,4.589496,-74.08510249999999
562,Bogota,C90482,Cra. 6 # 5-19 Cajicá,4.5726505,-74.0912699
563,Bogota,C90483,K.m 1.5 vía Siberia,4.7439051,-74.1371001
564,Bogota,C90484,Calle 25C Cr 97,4.6834128,-74.12973699999999
565,Bogota,C90485,Calle 82 # 7 - 80,4.664024299999999,-74.0491524
566,Bogota,C90486,Cr. 19B # 82-36,4.6694718,-74.0592499
567,Bogota,C90487,Cra 16 # 93-08,4.6773529,-74.0524569
568,Bogota,C90488,Cra 4 # 1-10 Cajicá,4.915581599999999,-74.02561089999999
570,Bogota,C90490,Autop. Norte # 108A-49,4.6960464,-74.0553311
571,Bogota,C90491,Calle 106 # 19-43,4.692629,-74.0515212
572,Bogota,C90492,Autop. Medellín Km. 20 Lote el Refugio,6.2476376,-75.56581530000001
574,Bogota,C90494,Cra 13 # 35-37,4.623372199999999,-74.0680424
576,Bogota,C90496,Calle 19 # 5-20,4.6048521,-74.070515
581,Bogota,C90501,Cra 15 # 93-84,4.677649,-74.0512803
582,Bogota,C90502,Av. Américas # 62-84,4.6293124,-74.1183069
583,Bogota,C90503,Calle 93 # 19-66,4.6789045,-74.0554861
585,Bogota,C90505,Calle 140 # 10A-48,4.7189119,-74.03448759999999
586,Bogota,C90506,Cra. 54 # 105-46,4.694458,-74.063261
592,Bogota,C90512,Cra. 9 con Cl. 115,4.693252999999999,-74.03508099999999
593,Bogota,C90513,Cra. 12 # 98-54/64,4.6822783,-74.0457455
595,Bogota,C90515,Av. 127 # 19-74/56,4.7055283,-74.0494945
596,Bogota,C90516,Autop. Norte # 118-86,4.702151199999999,-74.0540228
598,Bogota,C90518,Cl. 106 # 54-78,4.6948457,-74.0644585
599,Bogota,C90519,Variante Chia-Cota - Cerca Hard Body,4.8488372,-74.0512117
600,Bogota,C90520,Av. Cra. 60 # 24-09,4.646214899999999,-74.10316569999999
601,Bogota,C90521,Cr. 7 # 59-14,4.6442633,-74.0614331
603,Bogota,C90523,"Vía Cota-Siberia, 1,5 kms antes del round point Siberia",4.7989923,-74.1109483
604,Bogota,C90524,Calle 116 # 18- 96,4.6986401,-74.0485118
605,Bogota,C90525,Cra. 24 # 9-94,4.5912385,-74.1001872
606,Bogota,C90526,Cll. 22 # 44C-90,4.605395199999999,-74.0664855
609,Bogota,C90529,Cll. 93 # 16-46,4.677516199999999,-74.0531335
610,Bogota,C90530,Vìa Siberia Cota,4.7992783,-74.1107167
612,Bogota,C90532,Av El Dorado entre av 68 y Av. La Constitución,4.6794495,-74.0946074
613,Bogota,C90533,Av. 19 # 100-21,4.674849099999999,-74.1441763
614,Bogota,C90534,Av. 19 # 100-22,4.674852,-74.1440058
617,Bogota,C90537,Cl 9-10 y entre la Cra. 11 - Av. Caracas,4.6756806,-74.0469665
618,Bogota,C90538,Cl. 84 Cra. 18 Esquina,4.6697327,-74.05747459999999
619,Bogota,C90539,Cra.7 con Cl. 18-19,4.604978,-74.0729782
620,Bogota,C90540,Av. El Dorado (Cl. 26) con Cra. 92,4.683379599999999,-74.1223174
621,Bogota,C90541,Vía Ubaté-Zipaquirá,5.0308692,-73.9806869
622,Bogota,C90542,Ciudad Verde,4.6076765,-74.2208673
625,Bogota,C90545,Av. 9 # 127B-12,4.7051184,-74.03294369999999
627,Bogota,C90547,Cll. 66 # 11-50,4.6524057,-74.0623703
629,Bogota,C90549,Av. El Dorado con Ciudad de Cali # 51-66,4.641951,-74.0913477
631,Bogota,C90551,Cl. 84 con Cra. 19A,4.6701788,-74.05848569999999
632,Bogota,C90552,Cra. 19 # 89-21,4.6025879,-74.08789519999999
633,Bogota,C90553,Cl. 106 # 53-56,4.6948728,-74.0633759
634,Bogota,C90554,Cra. 68B con Av. La Esperanza,4.6528098,-74.10897229999999
637,Bogota,C90557,Cra. 2E Cerca McDonald´s Chía,4.621557399999999,-74.151487
638,Bogota,C90558,Clle. 90 Cra. 11,4.672198,-74.0488172
640,Bogota,C90560,Autop. Norte # 114-40,,
641,Bogota,C90561,Clle 116 # 17a - 20,4.698027499999999,-74.0469876
644,Bogota,C90564,Av. Santa fé Cl. 53 F Sur Bosa,4.5448366,-74.1182503
647,Bogota,C90567,Cr. 54 con 127,4.708126399999999,-74.0627504
648,Bogota,C90568,Av. Cl. 26-96J-90,4.687365,-74.127217
651,Bogota,C90571,500 mts. Costado sur Autop. Medellín ,6.2476376,-75.56581530000001
652,Bogota,C90572,Km. 6 Vía Siberia-Cota,,
653,Bogota,C90573,Cl. 134 con 8,4.7182,-74.04768299999999
654,Bogota,C90574,Cra. 12 # 97-32,4.6813288,-74.0462541
658,Bogota,C90578,Km. 1.5 Vía Parque Jaime Duque,,
659,Bogota,C90579,Cra. 27 # 21-75,4.590234199999999,-74.1244105
662,Bogota,C90582,Av. Suba Cra. 91,4.7050376,-74.07114860000001
663,Bogota,C90583,Autop. Medellín Km. 2.5 -vía parcelas 1800 mts,6.2476376,-75.56581530000001
664,Bogota,C90584,Cra. 15 # 88-21,4.6736452,-74.0537411
665,Bogota,C90585,Cra. 14 # 76-10,4.6629024,-74.05830370000001
666,Bogota,C90586,Cl. 75 # 7-25,4.683326999999999,-74.084941
671,Bogota,C90591,Calle 93 con 12,4.6750965,-74.04952329999999
674,Bogota,C90595,Cr. 13 # 17A-11 Funza,4.603343,-74.0790062
679,Bogota,C90600,Cl. 93 # 13-45,4.6756123,-74.05049439999999
681,Bogota,C90602,Cl. 94 # 11-30,4.677668199999999,-74.0464391
682,Bogota,C90603,Cr. 14 #97-53,4.682409499999999,-74.0482421
683,Bogota,C90605,Av. 19 #103-06,4.706586199999999,-74.04877130000001
685,Bogota,C90608,Cl. 116 # 23-03,4.699406199999999,-74.05379730000001
688,Bogota,C90611,Av. Cra. 69 # 44-35,4.660507400000001,-74.10504990000001
689,Bogota,C90612,Cr. 12 # 93-08,4.6752628,-74.0488999
690,Bogota,C90613,Cl. 102 # 14A-70,4.6872134,-74.0473165
692,Bogota,C90615,Av. Cl. 24 # 95A-80,4.677106999999999,-74.1293638
694,Bogota,C90617,Cr. 15 Cl. 95,4.680891600000001,-74.0498242
695,Bogota,C90625,Av. Cl. 24 con Av.Ciudad de Cali,4.6720483,-74.125267
697,Bogota,C90627,Cr. 7 con Cl. 153 costado Oriental,4.7274793,-74.0243387
698,Bogota,C90628,Cr. 49A # 94-72,4.6838405,-74.06185959999999
700,Bogota,C90630,Cl. 98 con Cr. 12,4.6819115,-74.04613739999999
701,Bogota,C90631,Cr. 46 # 94-03,4.6823019,-74.0594686
703,Bogota,C90640,Cr. 18 # 84-03,4.6705526,-74.05690799999999
705,Bogota,C90642,Av. Américas con 64,4.630080299999999,-74.134176
708,Bogota,C90650,Autop. Norte con Cl. 94-27 Cost. Occidental,4.6813568,-74.0552642
710,Bogota,C90652,Cl. 98 con Cr. 70C Bis,4.6946654,-74.07886289999999
711,Bogota,C90654,Cl. 92 con Cr. 11 Esquina,4.6736802,-74.0480457
712,Bogota,C90655,Cl. 134 con paralela Autop. Norte Costado Occ.,4.7189041,-74.0509825
716,Bogota,C90659,Autop.Norte con 164 Costado Occ.,4.7452882,-74.0470933
718,Bogota,C90671,Cr. 19B con Cl. 83,4.6698162,-74.0593878
719,Bogota,C90672,Cr. 11A # 93-35,4.6753859,-74.04832619999999
720,Bogota,C90673,Calle 94A # 13-54,4.6797278,-74.0487139
724,Bogota,C90677,Cll. 124 # 7- 60,4.6998089,-74.0299848
726,Bogota,C90679,Transv. 56 #105-37,4.694291,-74.0647321
728,Bogota,C90681,Km.1.5 vía Chía-Cajicá,,
738,Bogota,C90692,Cra. 106 # 15A-25,4.6713942,-74.15601459999999
741,Bogota,C90695,Cr. 21 # 24-80 Sur Frente Parque Olaya,4.5827377,-74.1073243
743,Bogota,C90697,Entre Parcelas y Potrero Chicó entre Cota y Siberia,4.7703011,-74.147533
750,Bogota,C90704,Vía Zipaquirá Cajicá,4.9559488,-74.0117472
755,Bogota,C90709,Cl. 69 con Cra. 7,4.651785299999999,-74.0570765
757,Bogota,C90711,Cl. 95 con Cr. 11 Costado Oriental,4.678550299999999,-74.0453455
758,Bogota,C90712,K.m. 3 Vía Siberia-Funza,4.798992,-74.1109051
760,Bogota,C90716,Cl. 83 con paralela. Costado Oriental,4.6672197,-74.0537179
761,Bogota,C90717,Vía Siberia- Entrada Festo,4.7647136,-74.1649214
768,Bogota,C90724,Autop. Medellín Costado vía Siberia,4.7990267,-74.1109909
771,Bogota,C90728,Av. 19 con Cl. 147,4.7297265,-74.0452348
779,Bogota,C90745,Mazurén,4.7366847,-74.05277819999999
795,Bogota,C90761,Cl. 90 Cra. 19 Costado Norte,4.6764269,-74.0564824
796,Bogota,C90762,Cra. 14A #127-15,4.7043712,-74.0418199
798,Bogota,C90764,Cra. 96 # 25g-40,4.6832199,-74.1249955
803,Bogota,C90769,Cr. 12A # 78-86,4.6642975,-74.0556976
822,Bogota,C90789,Av. 19 Cl.103 Costado Oriental,4.6896849,-74.0511875
823,Bogota,C90790,C.C. Bima Autop. Norte Costado Occidental,4.808790000000001,-74.03930799999999
828,Bogota,C90795,Vía Cajicá Km. 27 ,4.8944408,-74.0337555
830,Bogota,C90797,Km. 15 Vía Chia-Cajicá,,
837,Bogota,C90804,Km. 29 Vía Chia-Cajicá,,
838,Bogota,C90805,Troncal de Occidente 1 km después del peaje,4.6994242,-74.1903962
841,Bogota,C90808,Cl. 15 Sur # 15-40 Soacha,4.585037499999999,-74.09800980000001
842,Bogota,C90809,Av. Boyacá con 156 Costado Oriental,4.6803567,-74.1001764
848,Bogota,C90815,Cr 7 # 33 -91,4.7156018,-74.0292864
853,Bogota,C90820,Cr 45a # 95- 37,4.684148899999999,-74.0587949
863,Bogota,C90830,Cl. 95 # 13- 08,4.680003399999999,-74.04751739999999
868,Bogota,C90835,Av. 19 # 125- 57,4.706586199999999,-74.04877130000001
873,Bogota,C90840,Cl. 13 Cra 123 500 mts ántes del peaje,4.679884899999999,-74.1688613
876,Bogota,C90843,Cr 14 # 127-45,4.7047888,-74.04084710000001
880,Bogota,C90847,Cr. 78 # 17-55,4.6545497,-74.1309007
898,Bogota,C90865,Cll 80 Cr 28 Esquina,4.664552800000001,-74.0540864
903,Bogota,C90870,Cl. 25g # 73b  - 90,4.668101099999999,-74.11448469999999
907,Bogota,C90874,Cr. 15 # 95 -18,4.6815082,-74.0497425
929,Bogota,C90896,Cr 5 # 20- 39,4.6056488,-74.0698426
1148,Cali,C70009,Unicentro Cali ,3.3742372,-76.5386235
1181,Cartagena,C11001,Zona Industrial de Mamonal Kilometro 6,10.3251523,-75.4899933
1188,Cartagena,C11008,Cr. 1 # 12-18,10.393953,-75.5602912
1189,Cartagena,C11009,Cr. 1 # 41,10.3993915,-75.5606457
1203,Cartagena,C11024,Diag. 21 # 52 - 10,10.3890443,-75.521188
1204,Cartagena,C11025,Diag. 21 # 52 - 11,10.3884666,-75.5212238
1506,Medellin,C60298,Sector Zona E - Zona franca,6.2491108,-75.5620876
